Unemployment_Rate : Urban
Region, Date, Frequency, Estimated Unemployment Rate (%), Estimated Employed, Estimated Labour Participation Rate (%)
Assam, 31-08-2018, M, 14.88, 1608877.00, 47.64
Assam, 30-09-2018, M, 7.14, 1677903.00, 45.45
Assam, 31-10-2018, M, 8.91, 1575941.00, 43.43
Assam, 30-11-2018, M, 6.58, 1540123.00, 41.30
Assam, 31-12-2018, M, 11.07, 1622208.00, 45.61
Assam, 31-01-2019, M, 6.97, 1687708.00, 45.27
Assam, 28-02-2019, M, 10.46, 1619586.00, 45.05
Assam, 31-03-2019, M, 4.76, 1712014.00, 44.68
Assam, 30-04-2019, M, 11.69, 1628844.00, 45.76
Assam, 31-05-2019, M, 7.87, 1671707.00, 44.92
Assam, 30-06-2019, M, 9.89, 1647343.00, 45.17
Assam, 31-07-2019, M, 3.21, 1739837.00, 44.32
Assam, 31-08-2019, M, 10.39, 1595581.00, 43.81
Assam, 30-09-2019, M, 9.26, 1576479.00, 42.66
Assam, 31-10-2019, M, 11.17, 1595175.00, 44.01
Assam, 30-11-2019, M, 6.31, 1708045.00, 44.59
Assam, 31-12-2019, M, 5.02, 1722303.00, 44.26
Assam, 31-01-2020, M, 7.24, 1630908.00, 42.82
Assam, 29-02-2020, M, 9.98, 1625454.00, 43.90
Assam, 31-03-2020, M, 10.34, 1664145.00, 45.03
Assam, 30-04-2020, M, 8.37, 1454956.00, 38.45
Assam, 31-05-2020, M, 10.77, 1441722.00, 39.04
Assam, 30-06-2020, M, 3.42, 1551007.00, 38.73
Assam, 31-07-2020, M, 5.85, 1610505.00, 41.16
Assam, 31-08-2020, M, 8.21, 1571160.00, 41.10
Assam, 30-09-2020, M, 3.42, 1587541.00, 39.39
Assam, 31-10-2020, M, 3.48, 1665619.00, 41.27
Assam, 30-11-2020, M, 2.69, 1735014.00, 42.56
Assam, 31-12-2020, M, 0.76, 1653884.00, 39.70
Assam, 31-01-2021, M, 0.94, 1622427.00, 38.93
Assam, 28-02-2021, M, 2.41, 1684131.00, 40.94
Assam, 31-03-2021, M, 0.68, 1631388.00, 38.89
Assam, 30-04-2021, M, 1.23, 1569920.00, 37.56
Assam, 31-05-2021, M, 0.46, 1726664.00, 40.90
Assam, 30-06-2021, M, 3.75, 1639872.00, 40.09
Assam, 31-07-2021, M, 5.77, 1691892.00, 42.16
Assam, 31-08-2021, M, 3.91, 1599114.00, 39.00
Assam, 30-09-2021, M, 6.63, 1585167.00, 39.70
Bihar, 31-01-2016, M, 8.97, 3317405.00, 41.71
Bihar, 29-02-2016, M, 20.46, 3573153.00, 51.31
Bihar, 31-03-2016, M, 10.99, 3382778.00, 43.31
Bihar, 30-04-2016, M, 13.05, 3205834.00, 41.93
Bihar, 31-05-2016, M, 21.60, 3308141.00, 47.89
Bihar, 30-06-2016, M, 23.61, 3547971.00, 52.60
Bihar, 31-07-2016, M, 19.83, 3385175.00, 47.72
Bihar, 31-08-2016, M, 17.30, 3272056.00, 44.62
Bihar, 30-09-2016, M, 20.12, 3102351.00, 43.71
Bihar, 31-10-2016, M, 10.59, 3298034.00, 41.43
Bihar, 30-11-2016, M, 10.97, 3254790.00, 40.97
Bihar, 31-12-2016, M, 6.18, 3276336.00, 39.05
Bihar, 31-01-2017, M, 11.24, 3197505.00, 40.20
Bihar, 28-02-2017, M, 8.04, 3321266.00, 40.23
Bihar, 31-03-2017, M, 5.58, 3274518.00, 38.54
Bihar, 30-04-2017, M, 3.37, 3172349.00, 36.41
Bihar, 31-05-2017, M, 5.79, 3232015.00, 37.97
Bihar, 30-06-2017, M, 3.76, 3467640.00, 39.80
Bihar, 31-07-2017, M, 3.56, 3311423.00, 37.84
Bihar, 31-08-2017, M, 5.33, 3210954.00, 37.30
Bihar, 30-09-2017, M, 7.27, 3221894.00, 38.13
Bihar, 31-10-2017, M, 6.31, 3421506.00, 39.99
Bihar, 30-11-2017, M, 4.17, 3322940.00, 37.89
Bihar, 31-12-2017, M, 7.26, 3178433.00, 37.37
Bihar, 31-01-2018, M, 10.85, 3158308.00, 38.55
Bihar, 28-02-2018, M, 9.88, 3474858.00, 41.88
Bihar, 31-03-2018, M, 12.61, 3144714.00, 39.00
Bihar, 30-04-2018, M, 11.66, 3051850.00, 37.36
Bihar, 31-05-2018, M, 13.30, 3042953.00, 37.88
Bihar, 30-06-2018, M, 11.52, 3373261.00, 41.06
Bihar, 31-07-2018, M, 11.71, 3197020.00, 38.91
Bihar, 31-08-2018, M, 13.43, 2911528.00, 36.07
Bihar, 30-09-2018, M, 11.72, 3020218.00, 36.61
Bihar, 31-10-2018, M, 11.73, 3237720.00, 39.17
Bihar, 30-11-2018, M, 14.67, 3034493.00, 37.90
Bihar, 31-12-2018, M, 12.62, 3039804.00, 37.00
Bihar, 31-01-2019, M, 17.15, 3011934.00, 38.58
Bihar, 28-02-2019, M, 15.54, 3172005.00, 39.77
Bihar, 31-03-2019, M, 13.43, 3118422.00, 38.07
Bihar, 30-04-2019, M, 18.93, 2919604.00, 37.98
Bihar, 31-05-2019, M, 19.90, 3029343.00, 39.80
Bihar, 30-06-2019, M, 13.29, 3248864.00, 39.35
Bihar, 31-07-2019, M, 16.41, 3059745.00, 38.36
Bihar, 31-08-2019, M, 17.66, 2994761.00, 38.03
Bihar, 30-09-2019, M, 20.46, 2992082.00, 39.25
Bihar, 31-10-2019, M, 14.06, 3173428.00, 38.45
Bihar, 30-11-2019, M, 17.62, 3081076.00, 38.86
Bihar, 31-12-2019, M, 14.91, 2977855.00, 36.29
Bihar, 31-01-2020, M, 20.69, 2988665.00, 38.99
Bihar, 29-02-2020, M, 15.11, 3113464.00, 37.87
Bihar, 31-03-2020, M, 15.73, 3049637.00, 37.29
Bihar, 30-04-2020, M, 58.77, 1400962.00, 34.94
Bihar, 31-05-2020, M, 35.99, 2229884.00, 35.74
Bihar, 30-06-2020, M, 12.61, 3108389.00, 36.42
Bihar, 31-07-2020, M, 17.93, 3026772.00, 37.68
Bihar, 31-08-2020, M, 21.50, 2766159.00, 35.93
Bihar, 30-09-2020, M, 17.83, 3017267.00, 37.36
Bihar, 31-10-2020, M, 11.04, 3074204.00, 35.09
Bihar, 30-11-2020, M, 15.14, 3110589.00, 37.14
Bihar, 31-12-2020, M, 18.05, 2949613.00, 36.39
Bihar, 31-01-2021, M, 16.87, 2997440.00, 36.38
Bihar, 28-02-2021, M, 13.46, 3076085.00, 35.79
Bihar, 31-03-2021, M, 18.17, 3028056.00, 37.18
Bihar, 30-04-2021, M, 21.40, 2932268.00, 37.40
Bihar, 31-05-2021, M, 16.94, 3102360.00, 37.37
Bihar, 30-06-2021, M, 13.08, 2999740.00, 34.46
Bihar, 31-07-2021, M, 17.52, 2986184.00, 36.07
Bihar, 31-08-2021, M, 19.49, 2841203.00, 35.08
Bihar, 30-09-2021, M, 16.92, 2989255.00, 35.69
Chandigarh, 31-01-2016, M, 8.43, 344491.00, 43.23
Chandigarh, 29-02-2016, M, 15.15, 355180.00, 48.00
Chandigarh, 31-03-2016, M, 11.11, 221271.00, 28.48
Chandigarh, 30-04-2016, M, 9.09, 373604.00, 46.92
Chandigarh, 31-05-2016, M, 10.59, 346572.00, 44.16
Chandigarh, 30-06-2016, M, 5.98, 355766.00, 43.01
Chandigarh, 31-07-2016, M, 4.08, 300276.00, 35.51
Chandigarh, 31-08-2016, M, 4.26, 368173.00, 43.52
Chandigarh, 30-09-2016, M, 8.63, 334702.00, 41.37
Chandigarh, 31-10-2016, M, 0.00, 358700.00, 40.42
Chandigarh, 30-11-2016, M, 1.61, 317264.00, 36.26
Chandigarh, 31-12-2016, M, 5.38, 315016.00, 37.35
Chandigarh, 31-01-2017, M, 5.56, 317214.00, 37.60
Chandigarh, 28-02-2017, M, 5.15, 319191.00, 37.60
Chandigarh, 31-03-2017, M, 0.00, 254002.00, 28.31
Chandigarh, 30-04-2017, M, 0.00, 355515.00, 39.54
Chandigarh, 31-05-2017, M, 13.53, 284670.00, 36.54
Chandigarh, 30-06-2017, M, 9.18, 313927.00, 38.28
Chandigarh, 31-07-2017, M, 6.12, 253839.00, 29.88
Chandigarh, 31-08-2017, M, 6.52, 312010.00, 36.80
Chandigarh, 30-09-2017, M, 6.06, 311932.00, 36.53
Chandigarh, 31-10-2017, M, 9.35, 329723.00, 39.93
Chandigarh, 30-11-2017, M, 12.05, 258316.00, 32.17
Chandigarh, 31-12-2017, M, 5.38, 312089.00, 36.05
Chandigarh, 31-01-2018, M, 12.90, 280300.00, 35.09
Chandigarh, 28-02-2018, M, 8.04, 347958.00, 41.18
Chandigarh, 31-03-2018, M, 17.28, 250823.00, 32.93
Chandigarh, 30-04-2018, M, 8.42, 298492.00, 35.32
Chandigarh, 31-05-2018, M, 7.62, 303120.00, 35.47
Chandigarh, 30-06-2018, M, 8.06, 311730.00, 36.58
Chandigarh, 31-07-2018, M, 18.02, 263379.00, 34.58
Chandigarh, 31-08-2018, M, 8.00, 323508.00, 37.76
Chandigarh, 30-09-2018, M, 15.38, 321687.00, 40.74
Chandigarh, 31-10-2018, M, 11.64, 331448.00, 40.11
Chandigarh, 30-11-2018, M, 19.05, 280359.00, 36.95
Chandigarh, 31-12-2018, M, 8.13, 335917.00, 38.92
Chandigarh, 31-01-2019, M, 15.13, 343084.00, 42.94
Chandigarh, 28-02-2019, M, 15.58, 342573.00, 43.02
Chandigarh, 31-03-2019, M, 22.73, 285332.00, 39.05
Chandigarh, 30-04-2019, M, 9.02, 333905.00, 38.73
Chandigarh, 31-05-2019, M, 18.35, 348042.00, 44.89
Chandigarh, 30-06-2019, M, 12.40, 337145.00, 40.44
Chandigarh, 31-07-2019, M, 21.80, 294379.00, 39.47
Chandigarh, 31-08-2019, M, 9.52, 328282.00, 37.95
Chandigarh, 30-09-2019, M, 20.14, 327239.00, 42.77
Chandigarh, 31-10-2019, M, 13.99, 330856.00, 40.06
Chandigarh, 30-11-2019, M, 22.05, 289592.00, 38.60
Chandigarh, 31-12-2019, M, 8.33, 311146.00, 35.19
Chandigarh, 31-01-2020, M, 20.00, 332062.00, 42.94
Chandigarh, 29-02-2020, M, 16.67, 316887.00, 39.25
Chandigarh, 31-03-2020, M, 21.43, 279839.00, 36.68
Chandigarh, 31-05-2020, M, 16.84, 273215.00, 33.69
Chandigarh, 30-06-2020, M, 6.56, 321109.00, 35.16
Chandigarh, 31-07-2020, M, 8.26, 283948.00, 31.59
Chandigarh, 31-08-2020, M, 8.82, 286241.00, 31.97
Chandigarh, 30-09-2020, M, 3.41, 277870.00, 29.24
Chandigarh, 31-10-2020, M, 4.35, 285483.00, 30.26
Chandigarh, 30-11-2020, M, 8.65, 273749.00, 30.32
Chandigarh, 31-12-2020, M, 4.76, 294827.00, 31.25
Chandigarh, 31-01-2021, M, 7.84, 275308.00, 30.09
Chandigarh, 28-02-2021, M, 4.85, 331633.00, 35.03
Chandigarh, 31-03-2021, M, 8.41, 280809.00, 30.75
Chandigarh, 30-04-2021, M, 6.86, 294839.00, 31.68
Chandigarh, 31-05-2021, M, 23.08, 237070.00, 30.77
Chandigarh, 30-06-2021, M, 7.76, 313146.00, 33.82
Chandigarh, 31-07-2021, M, 7.22, 282968.00, 30.31
Chandigarh, 31-08-2021, M, 7.62, 295512.00, 31.72
Chandigarh, 30-09-2021, M, 11.32, 282733.00, 31.55
Chhattisgarh, 31-01-2016, M, 6.54, 2019505.00, 44.02
Chhattisgarh, 29-02-2016, M, 3.71, 1926920.00, 40.68
Chhattisgarh, 31-03-2016, M, 8.67, 2300322.00, 51.07
Chhattisgarh, 30-04-2016, M, 3.69, 2114469.00, 44.41
Chhattisgarh, 31-05-2016, M, 8.43, 2246501.00, 49.51
Chhattisgarh, 30-06-2016, M, 13.90, 2067550.00, 48.35
Chhattisgarh, 31-07-2016, M, 7.07, 2466609.00, 53.31
Chhattisgarh, 31-08-2016, M, 7.39, 2290292.00, 49.55
Chhattisgarh, 30-09-2016, M, 5.96, 2275689.00, 48.37
Chhattisgarh, 31-10-2016, M, 5.66, 2096396.00, 44.31
Chhattisgarh, 30-11-2016, M, 8.87, 2351519.00, 51.33
Chhattisgarh, 31-12-2016, M, 7.81, 2273419.00, 48.93
Chhattisgarh, 31-01-2017, M, 6.46, 2208653.00, 46.74
Chhattisgarh, 28-02-2017, M, 6.58, 1976789.00, 41.80
Chhattisgarh, 31-03-2017, M, 3.74, 2460073.00, 50.36
Chhattisgarh, 30-04-2017, M, 5.46, 2313971.00, 48.11
Chhattisgarh, 31-05-2017, M, 6.36, 2176420.00, 45.58
Chhattisgarh, 30-06-2017, M, 5.25, 2012672.00, 41.55
Chhattisgarh, 31-07-2017, M, 3.05, 2364438.00, 47.60
Chhattisgarh, 31-08-2017, M, 6.02, 2334101.00, 48.35
Chhattisgarh, 30-09-2017, M, 5.58, 2251146.00, 46.30
Chhattisgarh, 31-10-2017, M, 5.61, 2106830.00, 43.24
Chhattisgarh, 30-11-2017, M, 4.16, 2177431.00, 43.91
Chhattisgarh, 31-12-2017, M, 1.64, 2567083.00, 50.32
Chhattisgarh, 31-01-2018, M, 9.78, 2152923.00, 45.90
Chhattisgarh, 28-02-2018, M, 5.39, 2096165.00, 42.52
Chhattisgarh, 31-03-2018, M, 4.25, 2151407.00, 43.02
Chhattisgarh, 30-04-2018, M, 1.99, 2366776.00, 46.12
Chhattisgarh, 31-05-2018, M, 4.04, 2159176.00, 42.87
Chhattisgarh, 30-06-2018, M, 4.58, 2039737.00, 40.63
Chhattisgarh, 31-07-2018, M, 4.36, 2120155.00, 42.03
Chhattisgarh, 31-08-2018, M, 2.08, 2292225.00, 44.28
Chhattisgarh, 30-09-2018, M, 19.47, 2166437.00, 50.77
Chhattisgarh, 31-10-2018, M, 13.16, 2110463.00, 45.75
Chhattisgarh, 30-11-2018, M, 5.89, 2169398.00, 43.29
Chhattisgarh, 31-12-2018, M, 4.29, 2275804.00, 44.54
Chhattisgarh, 31-01-2019, M, 10.69, 2205021.00, 46.14
Chhattisgarh, 28-02-2019, M, 8.32, 2171227.00, 44.16
Chhattisgarh, 31-03-2019, M, 5.32, 2225929.00, 43.73
Chhattisgarh, 30-04-2019, M, 4.61, 2347217.00, 45.66
Chhattisgarh, 31-05-2019, M, 9.77, 2223128.00, 45.61
Chhattisgarh, 30-06-2019, M, 11.77, 2192019.00, 45.88
Chhattisgarh, 31-07-2019, M, 8.17, 2285435.00, 45.85
Chhattisgarh, 31-08-2019, M, 6.29, 2392400.00, 46.91
Chhattisgarh, 30-09-2019, M, 9.45, 2309817.00, 46.76
Chhattisgarh, 31-10-2019, M, 10.27, 2297096.00, 46.82
Chhattisgarh, 30-11-2019, M, 8.32, 2341284.00, 46.59
Chhattisgarh, 31-12-2019, M, 3.57, 2415435.00, 45.59
Chhattisgarh, 31-01-2020, M, 9.01, 2315972.00, 46.21
Chhattisgarh, 29-02-2020, M, 9.79, 2347941.00, 47.14
Chhattisgarh, 31-03-2020, M, 8.21, 2407509.00, 47.39
Chhattisgarh, 30-04-2020, M, 20.13, 1066126.00, 24.06
Chhattisgarh, 31-05-2020, M, 19.35, 1537126.00, 34.28
Chhattisgarh, 30-06-2020, M, 25.73, 1625061.00, 39.25
Chhattisgarh, 31-07-2020, M, 3.40, 2175412.00, 40.30
Chhattisgarh, 31-08-2020, M, 4.21, 2156940.00, 40.20
Chhattisgarh, 30-09-2020, M, 5.24, 2277312.00, 42.80
Chhattisgarh, 31-10-2020, M, 8.18, 2255153.00, 43.63
Chhattisgarh, 30-11-2020, M, 4.24, 2169263.00, 40.15
Chhattisgarh, 31-12-2020, M, 5.26, 2098898.00, 39.17
Chhattisgarh, 31-01-2021, M, 5.28, 2303194.00, 42.88
Chhattisgarh, 28-02-2021, M, 6.47, 2296190.00, 43.20
Chhattisgarh, 31-03-2021, M, 3.32, 2258407.00, 41.01
Chhattisgarh, 30-04-2021, M, 1.90, 2405634.00, 42.94
Chhattisgarh, 31-05-2021, M, 3.74, 2294277.00, 41.63
Chhattisgarh, 30-06-2021, M, 3.31, 2387240.00, 43.03
Chhattisgarh, 31-07-2021, M, 1.81, 2299903.00, 40.72
Chhattisgarh, 31-08-2021, M, 3.39, 2294300.00, 41.18
Chhattisgarh, 30-09-2021, M, 4.60, 2420872.00, 43.90
Delhi, 31-01-2016, M, 10.59, 5338313.00, 44.03
Delhi, 29-02-2016, M, 10.83, 4690351.00, 38.71
Delhi, 31-03-2016, M, 10.51, 5369646.00, 44.06
Delhi, 30-04-2016, M, 5.73, 5802357.00, 45.09
Delhi, 31-05-2016, M, 17.44, 5381843.00, 47.65
Delhi, 30-06-2016, M, 15.91, 4886343.00, 42.38
Delhi, 31-07-2016, M, 14.16, 5180801.00, 43.91
Delhi, 31-08-2016, M, 6.45, 5789929.00, 44.93
Delhi, 30-09-2016, M, 7.58, 5299196.00, 41.53
Delhi, 31-10-2016, M, 11.58, 5046339.00, 41.24
Delhi, 30-11-2016, M, 11.30, 5369670.00, 43.65
Delhi, 31-12-2016, M, 11.15, 5529497.00, 44.77
Delhi, 31-01-2017, M, 10.88, 5141984.00, 41.41
Delhi, 28-02-2017, M, 12.12, 5072383.00, 41.34
Delhi, 31-03-2017, M, 10.80, 5017896.00, 40.19
Delhi, 30-04-2017, M, 7.27, 5494696.00, 42.24
Delhi, 31-05-2017, M, 5.31, 5219192.00, 39.20
Delhi, 30-06-2017, M, 3.72, 5153807.00, 37.99
Delhi, 31-07-2017, M, 3.17, 5012831.00, 36.65
Delhi, 31-08-2017, M, 6.53, 5195783.00, 39.26
Delhi, 30-09-2017, M, 4.49, 4955900.00, 36.57
Delhi, 31-10-2017, M, 3.65, 5407370.00, 39.46
Delhi, 30-11-2017, M, 2.07, 5163953.00, 36.99
Delhi, 31-12-2017, M, 5.66, 5323706.00, 39.49
Delhi, 31-01-2018, M, 2.19, 5320585.00, 37.98
Delhi, 28-02-2018, M, 1.49, 5456923.00, 38.59
Delhi, 31-03-2018, M, 2.94, 4979929.00, 35.66
Delhi, 30-04-2018, M, 3.48, 5264906.00, 37.83
Delhi, 31-05-2018, M, 8.88, 5193876.00, 39.44
Delhi, 30-06-2018, M, 9.06, 5231676.00, 39.71
Delhi, 31-07-2018, M, 7.28, 5144157.00, 38.21
Delhi, 31-08-2018, M, 12.45, 5343377.00, 41.94
Delhi, 30-09-2018, M, 12.68, 5546415.00, 43.54
Delhi, 31-10-2018, M, 9.93, 5207076.00, 39.53
Delhi, 30-11-2018, M, 12.06, 5393830.00, 41.85
Delhi, 31-12-2018, M, 9.60, 5762234.00, 43.39
Delhi, 31-01-2019, M, 12.25, 5842691.00, 45.22
Delhi, 28-02-2019, M, 11.65, 5302562.00, 40.67
Delhi, 31-03-2019, M, 13.14, 5307416.00, 41.31
Delhi, 30-04-2019, M, 8.33, 5474214.00, 40.28
Delhi, 31-05-2019, M, 12.31, 5756472.00, 44.17
Delhi, 30-06-2019, M, 12.76, 5550172.00, 42.71
Delhi, 31-07-2019, M, 14.68, 5393093.00, 42.34
Delhi, 31-08-2019, M, 13.52, 5552510.00, 42.90
Delhi, 30-09-2019, M, 20.59, 5642254.00, 47.36
Delhi, 31-10-2019, M, 12.41, 6030364.00, 45.78
Delhi, 30-11-2019, M, 16.11, 5439600.00, 43.02
Delhi, 31-12-2019, M, 11.07, 5718340.00, 42.56
Delhi, 31-01-2020, M, 22.45, 5647493.00, 48.09
Delhi, 29-02-2020, M, 14.86, 5708807.00, 44.18
Delhi, 31-03-2020, M, 17.09, 5401392.00, 42.82
Delhi, 30-04-2020, M, 16.51, 3003787.00, 23.59
Delhi, 31-05-2020, M, 43.02, 2502794.00, 28.73
Delhi, 30-06-2020, M, 18.11, 4306807.00, 34.32
Delhi, 31-07-2020, M, 20.43, 4148109.00, 33.94
Delhi, 31-08-2020, M, 13.62, 4728350.00, 35.55
Delhi, 30-09-2020, M, 12.64, 4813863.00, 35.71
Delhi, 31-10-2020, M, 6.19, 4710193.00, 32.46
Delhi, 30-11-2020, M, 6.55, 4903210.00, 33.84
Delhi, 31-12-2020, M, 7.49, 5202146.00, 36.18
Delhi, 31-01-2021, M, 12.57, 5014724.00, 36.81
Delhi, 28-02-2021, M, 8.02, 5035622.00, 35.06
Delhi, 31-03-2021, M, 9.37, 4969192.00, 35.03
Delhi, 30-04-2021, M, 27.68, 4028115.00, 35.50
Delhi, 31-05-2021, M, 46.25, 2760409.00, 32.65
Delhi, 30-06-2021, M, 8.47, 4976895.00, 34.49
Delhi, 31-07-2021, M, 10.73, 4850709.00, 34.38
Delhi, 31-08-2021, M, 11.58, 4922386.00, 35.14
Delhi, 30-09-2021, M, 17.01, 5070844.00, 38.48
Goa, 31-01-2016, M, 12.31, 400703.00, 60.22
Goa, 29-02-2016, M, 13.54, 371433.00, 56.54
